"","0-4","5-17","18-25 T","18-25 S","18-25 X","26-49 T","26-49 S","26-49 X","50-64 T","50-64 S","50-64 X","65+ T","65+ S","65+ X"
"0-4",0.6503364211,0.7264668299,0.00382961903953554,0.00306021488927377,0.302664616482335,0.0558273131488134,0.0446111148920686,1.36536115001775,0.0193099144881904,0.0154303828217918,0.590784351871252,0.00109592479125398,0.000875743861133629,0.25683428895253
"5-17",0.2215449735,2.632186271,0.00932894212557547,0.00745467559544037,0.737290226906131,0.0518582203127212,0.041439447718042,1.2682895760237,0.0133617168215625,0.0106772303854156,0.408800008780037,0.000844518884350949,0.000674847612248572,0.19791632500719
"18-25 T",0.07235710616,1.524238365,0.0344742318990707,0.0275480554761938,2.72458698072505,0.0690474272529364,0.0551751917913672,1.68868371702821,0.0129953512453951,0.0103844708759706,0.397591101066005,0.000543186839662609,0.000434055825800609,0.127297974136974
"18-25 S",0.07235710616,1.524238365,0.0344742318990707,0.0275480554761938,2.72458698072505,0.0690474272529364,0.0551751917913672,1.68868371702821,0.0129953512453951,0.0103844708759706,0.397591101066005,0.000543186839662609,0.000434055825800609,0.127297974136974
"18-25 X",0.07235710616,1.524238365,0.0344742318990707,0.0275480554761938,2.72458698072505,0.0690474272529364,0.0551751917913672,1.68868371702821,0.0129953512453951,0.0103844708759706,0.397591101066005,0.000543186839662609,0.000434055825800609,0.127297974136974
"26-49 T",0.1077763601,0.3671219944,0.00649213756071851,0.00518781002011464,0.513090285138059,0.0859494581526482,0.0686814560166653,2.10205443192095,0.019715879424672,0.0157547858317568,0.603204796924411,0.000793920664985587,0.000634415020206552,0.18605843311837
"26-49 S",0.1077763601,0.3671219944,0.00649213756071851,0.00518781002011464,0.513090285138059,0.0859494581526482,0.0686814560166653,2.10205443192095,0.019715879424672,0.0157547858317568,0.603204796924411,0.000793920664985587,0.000634415020206552,0.18605843311837
"26-49 X",0.1077763601,0.3671219944,0.00649213756071851,0.00518781002011464,0.513090285138059,0.0859494581526482,0.0686814560166653,2.10205443192095,0.019715879424672,0.0157547858317568,0.603204796924411,0.000793920664985587,0.000634415020206552,0.18605843311837
"50-64 T",0.05831066632,0.26610973,0.00465894599105454,0.00372292276149656,0.368208452861006,0.0704198792608771,0.0562719061191172,1.72224959269396,0.0344857292757363,0.0275572429354219,1.05508645475533,0.00160394089742887,0.00128169506315965,0.375889863246608
"50-64 S",0.05831066632,0.26610973,0.00465894599105454,0.00372292276149656,0.368208452861006,0.0704198792608771,0.0562719061191172,1.72224959269396,0.0344857292757363,0.0275572429354219,1.05508645475533,0.00160394089742887,0.00128169506315965,0.375889863246608
"50-64 X",0.05831066632,0.26610973,0.00465894599105454,0.00372292276149656,0.368208452861006,0.0704198792608771,0.0562719061191172,1.72224959269396,0.0344857292757363,0.0275572429354219,1.05508645475533,0.00160394089742887,0.00128169506315965,0.375889863246608
"65+ T",0.03500920615,0.1530479199,0.00213748492564869,0.00170804540282985,0.168930916777741,0.0421839214752494,0.033708800610089,1.03168653995896,0.0245364123481568,0.0196068312905761,0.750688382137422,0.00252525112244417,0.00201790596029027,0.591802541228596
"65+ S",0.03500920615,0.1530479199,0.00213748492564869,0.00170804540282985,0.168930916777741,0.0421839214752494,0.033708800610089,1.03168653995896,0.0245364123481568,0.0196068312905761,0.750688382137422,0.00252525112244417,0.00201790596029027,0.591802541228596
"65+ X",0.03500920615,0.1530479199,0.00213748492564869,0.00170804540282985,0.168930916777741,0.0421839214752494,0.033708800610089,1.03168653995896,0.0245364123481568,0.0196068312905761,0.750688382137422,0.00252525112244417,0.00201790596029027,0.591802541228596
