"","0-4","5-17","18-25 T","18-25 S","18-25 V","18-25 X","26-49 T","26-49 S","26-49 V","26-49 X","50-64 T","50-64 S","50-64 V","50-64 X","65+ T","65+ S","65+ V","65+ X"
"0-4",0.9952041378,0.4921330792,0.0327737839145362,0.0129717377479205,0.000244655247543239,0,0.240040694502132,0.0945315010325456,0.0027389597653227,0,0.0415623959263636,0.0165295820556006,0.000152288898035846,0,0.0010524387878187,0.000401562955449225,3.78686673207581e-06,0
"5-17",0.1676587774,3.715152898,0.431907699993641,0.170947408155093,0.00322417715126595,0,0.227612650499088,0.0896371573590991,0.00259715084181247,0,0.0627029980021316,0.0249373099771411,0.000229750240727375,0,0.0018012492488497,0.000687275098790243,6.48122336006159e-06,0
"18-25 T",0.468829872916587,47.1522092770713,13.1301448908961,16.5870039844802,6950.26363416839,0,1.65544422949232,2.10180721884483,13852.8088756571,0,0.488195431238558,0.613765421724739,437.48481784011,0,0.0154550789197818,0.0202527702110636,1.31169293194162,0
"18-25 S",0.185561062333347,18.6626632607396,16.5870039844802,20.953972973438,8780.10498369079,0,2.09128385549749,2.65516374748924,17499.9284414664,0,0.616725834364067,0.775355457253421,552.664306217588,0,0.0195240385961484,0.0255848494421868,1.65703090630901,0
"18-25 V",0.00349979998993034,0.35198973249396,6950.26363416839,8780.10498369079,3679027.53441336,0,876.286889614752,1112.56306770068,7332795.98660955,0,258.419612296672,324.88837906741,231576.638734821,0,8.18093584434398,10.7205284830271,694.326815113108,0
"18-25 X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-49 T",0.512283581799533,3.65004919871368,0.488686187911903,0.617345795755493,258.679387667646,0,0.507501183525689,0.644340432678728,4246.78571123303,0,0.0987889271160411,0.124198678712097,88.5273663342873,0,0.00661954311681224,0.00867443552652653,0.561809354974682,0
"26-49 S",0.20174469184186,1.43744222333926,0.620452286585328,0.783802816746245,328.42798004313,0,0.644340432678728,0.818076108316298,5391.86081037232,0,0.125425717433022,0.157686785720428,112.397297542175,0,0.00840439276691145,0.0110133527208275,0.713291898853316,0
"26-49 V",0.00584535935414843,0.041648512630163,4089.3412418932,5165.96884777807,2164637.17326851,0,4246.78571123303,5391.86081037232,35537235.1091672,0,826.668819154012,1039.2984119649,740799.758908371,0,55.3925429849687,72.5879466746117,4701.23818149235,0
"26-49 X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50-64 T",1.06070285450842,9.88132038414616,0.877838242485987,1.10895245611036,464.671735470563,0,0.595824933213815,0.756479211734352,4985.88159970414,0,0.260776083401173,0.327850964107518,233.688334719526,0,0.0191437498964801,0.0250865084315569,1.62475530279761,0
"50-64 S",0.421847068231343,3.92985275432155,1.10362925301985,1.39418894226535,584.191136244561,0,0.749078582075859,0.951055156821512,6268.31290687902,0,0.327850964107518,0.412178345745281,293.795906584785,0,0.0240677625736822,0.0315390731700065,2.0426627530928,0
"50-64 V",0.00388652447136961,0.0362061752914067,786.654030400792,993.761580324407,416404.612865889,0,533.934456761164,677.90099818389,4467980.16500292,0,233.688334719526,293.795906584785,209414.287812483,0,17.1552198163561,22.4806826716515,1455.98613218448,0
"50-64 X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65+ T",0.58466584172858,3.94952493885736,0.40080807612008,0.506331438903252,212.16230429185,0,0.765611120210501,0.972045418757353,6406.6577009401,0,0.835658062335717,1.05059980128436,748.855257104845,0,0.587720897484418,0.770165998295664,49.8806477266167,0
"65+ S",0.22308199400494,1.50695976376461,0.525230178799571,0.663510962057873,278.023452262855,0,1.00327835070526,1.27379566309505,8395.46448850571,0,1.09506983428247,1.37673553591285,981.32099630233,0,0.770165998295664,1.00924719108951,65.3650040630427,0
"65+ V",0.00210373434640502,0.014211111155891,34.0171100542817,42.9730170306113,18006.4945904525,0,64.9784255524331,82.4987767405236,543741.488950683,0,70.923401916945,89.1657907925724,63556.3333510054,0,49.8806477266167,65.3650040630427,4233.43636116461,0
"65+ X",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
